9900285884,24-Hour Kiosk (Austin B-cycle),240,2014-10-26T00:00:00.000,14:12:00,2567,Palmer Auditorium,2499,City Hall / Lavaca & 2nd,126,10,2014,2567,Palmer Auditorium,active,"{'latitude': '30.25971', 'longitude': '-97.75346'}",900 Barton Springs Rd.,16753,sidewalk,15,solar,45,5,9,2021-01-04T00:00:00.000,2859,9,adjacent to parkland,,30.25971,-97.75346,2499,City Hall / Lavaca & 2nd,active,"{'latitude': '30.26476', 'longitude': '-97.74678'}",Presented by Graves Dougherty Hearon & Moody,16732,sidewalk,19,solar,55,5,9,2021-01-04T00:00:00.000,2856,9,check dock #-18?,,30.26476,-97.74678,0.5296740607264527
9900285885,24-Hour Kiosk (Austin B-cycle),897,2014-10-26T00:00:00.000,14:12:00,2494,2nd & Congress,2566,Pfluger Bridge @ W 2nd Street,61,10,2014,2494,2nd & Congress,active,"{'latitude': '30.26408', 'longitude': '-97.74355'}",151 E. 2nd St,16733,paid_parking,15,solar,45,5,9,2021-01-04T00:00:00.000,2856,9,,,30.26408,-97.74355,2566,Pfluger Bridge @ W 2nd Street,active,"{'latitude': '30.26717', 'longitude': '-97.75484'}",Presented by Austin Parks Foundation,16762,sidewalk,19,solar,55,5,9,2021-01-04T00:00:00.000,2858,9,adjacent to parkland,,30.26717,-97.75484,0.7078292723990859
9900285886,24-Hour Kiosk (Austin B-cycle),920,2014-10-26T00:00:00.000,14:12:00,,Convention Center/ 3rd & Trinity,,Convention Center/ 3rd & Trinity,38,10,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9900285887,24-Hour Kiosk (Austin B-cycle),539,2014-10-26T00:00:00.000,14:12:00,,Convention Center/ 3rd & Trinity,,Convention Center/ 3rd & Trinity,46,10,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9900285888,24-Hour Kiosk (Austin B-cycle),164,2014-10-26T00:00:00.000,14:12:00,,Convention Center/ 3rd & Trinity,,Convention Center/ 3rd & Trinity,44,10,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9900285889,24-Hour Kiosk (Austin B-cycle),647,2014-10-26T00:00:00.000,14:12:00,2567,Palmer Auditorium,2567,Palmer Auditorium,55,10,2014,2567,Palmer Auditorium,active,"{'latitude': '30.25971', 'longitude': '-97.75346'}",900 Barton Springs Rd.,16753,sidewalk,15,solar,45,5,9,2021-01-04T00:00:00.000,2859,9,adjacent to parkland,,30.25971,-97.75346,2567,Palmer Auditorium,active,"{'latitude': '30.25971', 'longitude': '-97.75346'}",900 Barton Springs Rd.,16753,sidewalk,15,solar,45,5,9,2021-01-04T00:00:00.000,2859,9,adjacent to parkland,,30.25971,-97.75346,0.0
9900285890,24-Hour Kiosk (Austin B-cycle),416,2014-10-26T00:00:00.000,14:12:00,2561,State Capitol Visitors Garage @ San Jacinto & 12th,2502,Barton Springs & Riverside,27,10,2014,2561,State Capitol Visitors Garage @ San Jacinto & 12th,active,"{'latitude': '30.27336', 'longitude': '-97.73805'}",1201 San Jacinto Blvd.,16764,sidewalk,13,solar,40,5,1,2021-01-04T00:00:00.000,2856,1,state property?,,30.27336,-97.73805,2502,Barton Springs & Riverside,closed,"{'latitude': '30.2587', 'longitude': '-97.74872'}",400 Barton Springs Rd.,, ,0, ,,,9,2021-01-04T00:00:00.000,2859,9,moved to Pedernales/2nd. Original city ID: 16729,,30.2587,-97.74872,1.1944837253426999
9900285891,24-Hour Kiosk (Austin B-cycle),865,2014-10-26T00:00:00.000,14:12:00,2567,Palmer Auditorium,2567,Palmer Auditorium,54,10,2014,2567,Palmer Auditorium,active,"{'latitude': '30.25971', 'longitude': '-97.75346'}",900 Barton Springs Rd.,16753,sidewalk,15,solar,45,5,9,2021-01-04T00:00:00.000,2859,9,adjacent to parkland,,30.25971,-97.75346,2567,Palmer Auditorium,active,"{'latitude': '30.25971', 'longitude': '-97.75346'}",900 Barton Springs Rd.,16753,sidewalk,15,solar,45,5,9,2021-01-04T00:00:00.000,2859,9,adjacent to parkland,,30.25971,-97.75346,0.0
14869148,Walk Up,270,2017-05-20T00:00:00.000,19:02:04,2572,Barton Springs Pool,2574,Zilker Park,47,5,2017,2572,Barton Springs Pool,active,"{'latitude': '30.26452', 'longitude': '-97.7712'}",2200 William Barton Dr.,16758,parkland,13,solar,40,5,8,2021-01-04T00:00:00.000,3260,8,,,30.26452,-97.7712,2574,Zilker Park,active,"{'latitude': '30.2659', 'longitude': '-97.76822'}",Barton Springs Rd,16759,parkland,17,solar,50,5,8,2021-01-04T00:00:00.000,3260,8,parkland at ROW/easement,Zilker Park at Barton Springs and William Burton Drive,30.2659,-97.76822,0.20195598080603708
9900285892,24-Hour Kiosk (Austin B-cycle),765,2014-10-26T00:00:00.000,14:12:00,2567,Palmer Auditorium,2567,Palmer Auditorium,53,10,2014,2567,Palmer Auditorium,active,"{'latitude': '30.25971', 'longitude': '-97.75346'}",900 Barton Springs Rd.,16753,sidewalk,15,solar,45,5,9,2021-01-04T00:00:00.000,2859,9,adjacent to parkland,,30.25971,-97.75346,2567,Palmer Auditorium,active,"{'latitude': '30.25971', 'longitude': '-97.75346'}",900 Barton Springs Rd.,16753,sidewalk,15,solar,45,5,9,2021-01-04T00:00:00.000,2859,9,adjacent to parkland,,30.25971,-97.75346,0.0
